Date,Open,High,Low,Close/Last,Volume
12/12/2025,$229.87 ,$230.08 ,$225.12 ,$226.19 ,35639120
12/11/2025,$230.71 ,$232.11 ,$228.69 ,$230.28 ,28249600
12/10/2025,$228.81 ,$232.42 ,$228.46 ,$231.78 ,38790740
12/9/2025,$226.84 ,$228.57 ,$225.11 ,$227.92 ,25841740
12/8/2025,$229.59 ,$230.83 ,$226.27 ,$226.89 ,35019170
12/5/2025,$230.32 ,$231.24 ,$228.55 ,$229.53 ,33117380
12/4/2025,$232.77 ,$233.50 ,$226.80 ,$229.11 ,45683220
12/3/2025,$233.35 ,$233.38 ,$230.61 ,$232.38 ,35495060
12/2/2025,$235.01 ,$238.97 ,$233.55 ,$234.42 ,45785360
12/1/2025,$233.22 ,$235.80 ,$232.25 ,$233.88 ,42903950
11/28/2025,$231.24 ,$233.29 ,$230.22 ,$233.22 ,20292330
11/26/2025,$230.74 ,$231.75 ,$228.77 ,$229.16 ,38497920
11/25/2025,$226.38 ,$230.52 ,$223.80 ,$229.67 ,39379340
11/24/2025,$222.56 ,$227.33 ,$222.27 ,$226.28 ,54318400
11/21/2025,$216.35 ,$222.21 ,$215.18 ,$220.69 ,68490460
11/20/2025,$227.05 ,$227.41 ,$216.74 ,$217.14 ,50308960
11/19/2025,$223.74 ,$223.74 ,$218.52 ,$222.69 ,58335640
11/18/2025,$228.10 ,$230.20 ,$222.42 ,$222.55 ,60608440
11/17/2025,$233.25 ,$234.60 ,$229.19 ,$232.87 ,59919020
11/14/2025,$235.06 ,$238.73 ,$232.89 ,$234.69 ,38956670
11/13/2025,$243.05 ,$243.75 ,$236.50 ,$237.58 ,41401740
11/12/2025,$250.24 ,$250.37 ,$243.75 ,$244.20 ,31190060
11/11/2025,$248.41 ,$249.75 ,$247.23 ,$249.10 ,23564060
11/10/2025,$248.34 ,$251.75 ,$245.59 ,$248.40 ,36476510
11/7/2025,$242.90 ,$244.90 ,$238.49 ,$244.41 ,46374290
11/6/2025,$249.16 ,$250.38 ,$242.17 ,$243.04 ,46004200
11/5/2025,$249.03 ,$251.00 ,$246.16 ,$250.20 ,40610700
11/4/2025,$250.38 ,$257.01 ,$248.66 ,$249.32 ,51546310
11/3/2025,$255.36 ,$258.60 ,$252.90 ,$254.00 ,95997820
10/31/2025,$250.10 ,$250.50 ,$243.98 ,$244.22 ,166340800
10/30/2025,$227.06 ,$228.44 ,$222.75 ,$222.86 ,102252900
10/29/2025,$231.67 ,$232.82 ,$227.76 ,$230.30 ,52036150
10/28/2025,$228.22 ,$231.49 ,$226.21 ,$229.25 ,47100030
10/27/2025,$227.66 ,$228.40 ,$225.54 ,$226.97 ,38267000
10/24/2025,$221.97 ,$225.40 ,$221.90 ,$224.21 ,38685050
10/23/2025,$219.00 ,$221.30 ,$218.18 ,$221.09 ,31540000
10/22/2025,$219.30 ,$220.01 ,$216.52 ,$217.95 ,44308540
10/21/2025,$218.43 ,$223.32 ,$217.99 ,$222.03 ,50494570
10/20/2025,$213.88 ,$216.69 ,$213.59 ,$216.48 ,38882820
10/17/2025,$214.56 ,$214.80 ,$211.03 ,$213.04 ,45986940
10/16/2025,$215.67 ,$218.59 ,$212.81 ,$214.47 ,42414590
10/15/2025,$216.62 ,$217.71 ,$212.66 ,$215.57 ,45909470
10/14/2025,$215.56 ,$219.32 ,$212.60 ,$216.39 ,45665580
10/13/2025,$217.70 ,$220.68 ,$217.04 ,$220.07 ,37809650
10/10/2025,$226.21 ,$228.25 ,$216.00 ,$216.37 ,72367510
10/9/2025,$225.00 ,$228.21 ,$221.75 ,$227.74 ,46412120
10/8/2025,$222.92 ,$226.73 ,$221.19 ,$225.22 ,46685990
10/7/2025,$220.88 ,$222.89 ,$220.17 ,$221.78 ,31194680
10/6/2025,$221.00 ,$221.73 ,$216.03 ,$220.90 ,43690880
10/3/2025,$223.44 ,$224.20 ,$219.34 ,$219.51 ,43639030
10/2/2025,$221.01 ,$222.81 ,$218.95 ,$222.41 ,41258590
10/1/2025,$217.36 ,$222.15 ,$216.61 ,$220.63 ,43933830
9/30/2025,$222.03 ,$222.24 ,$217.89 ,$219.57 ,48396370
9/29/2025,$220.08 ,$222.60 ,$219.30 ,$222.17 ,44259180
9/26/2025,$219.08 ,$221.05 ,$218.02 ,$219.78 ,41650100
9/25/2025,$220.06 ,$220.67 ,$216.47 ,$218.15 ,52226330
9/24/2025,$224.15 ,$224.56 ,$219.45 ,$220.21 ,49509030
9/23/2025,$227.83 ,$227.86 ,$220.07 ,$220.71 ,70956190
9/22/2025,$230.56 ,$230.57 ,$227.51 ,$227.63 ,45914510
9/19/2025,$232.37 ,$234.16 ,$229.70 ,$231.48 ,97943170
9/18/2025,$232.50 ,$233.48 ,$228.79 ,$231.23 ,37931740
9/17/2025,$233.77 ,$234.30 ,$228.71 ,$231.62 ,42815230
9/16/2025,$232.94 ,$235.90 ,$232.23 ,$234.05 ,38203910
9/15/2025,$230.63 ,$233.73 ,$230.32 ,$231.43 ,33243330
9/12/2025,$230.35 ,$230.79 ,$226.29 ,$228.15 ,38496220
9/11/2025,$231.49 ,$231.53 ,$229.34 ,$229.95 ,37485600
9/10/2025,$237.52 ,$237.68 ,$229.10 ,$230.33 ,60907710
9/9/2025,$236.36 ,$238.85 ,$235.08 ,$238.24 ,27033780
9/8/2025,$234.94 ,$237.60 ,$233.75 ,$235.84 ,33947100
9/5/2025,$235.19 ,$236.00 ,$231.93 ,$232.33 ,36721800
9/4/2025,$231.19 ,$235.77 ,$230.78 ,$235.68 ,59391780
9/3/2025,$225.21 ,$227.17 ,$224.36 ,$225.99 ,29223130
9/2/2025,$223.52 ,$226.17 ,$221.83 ,$225.34 ,38843880
8/29/2025,$231.32 ,$231.81 ,$228.16 ,$229.00 ,26199170
8/28/2025,$229.01 ,$232.71 ,$228.02 ,$231.60 ,33679590
8/27/2025,$228.57 ,$229.87 ,$227.81 ,$229.12 ,21254480
8/26/2025,$227.11 ,$229.00 ,$226.02 ,$228.71 ,26105370
8/25/2025,$227.35 ,$229.60 ,$227.31 ,$227.94 ,22633700
8/22/2025,$222.79 ,$229.14 ,$220.82 ,$228.84 ,37315340
8/21/2025,$222.65 ,$222.78 ,$220.50 ,$221.95 ,32140460
8/20/2025,$227.12 ,$227.27 ,$220.92 ,$223.81 ,36604320
8/19/2025,$230.09 ,$230.53 ,$227.12 ,$228.01 ,29891010
8/18/2025,$230.23 ,$231.91 ,$228.33 ,$231.49 ,25248890
8/15/2025,$232.58 ,$234.08 ,$229.81 ,$231.03 ,39649240
8/14/2025,$227.40 ,$233.11 ,$227.02 ,$230.98 ,61545820
8/13/2025,$222.00 ,$224.92 ,$222.00 ,$224.56 ,36508340
8/12/2025,$222.23 ,$223.50 ,$219.05 ,$221.47 ,37254710
8/11/2025,$221.78 ,$223.05 ,$220.40 ,$221.30 ,31646220
8/8/2025,$223.14 ,$223.80 ,$221.88 ,$222.69 ,32970480
8/7/2025,$221.00 ,$226.22 ,$220.82 ,$223.13 ,40603510
8/6/2025,$214.70 ,$222.65 ,$213.74 ,$222.31 ,54823050
8/5/2025,$213.05 ,$216.30 ,$212.87 ,$213.75 ,51505120
8/4/2025,$217.40 ,$217.44 ,$211.42 ,$211.65 ,77890150
8/1/2025,$217.21 ,$220.44 ,$212.80 ,$214.75 ,122258800
7/31/2025,$235.77 ,$236.53 ,$231.40 ,$234.11 ,104357300
7/30/2025,$231.64 ,$231.80 ,$229.29 ,$230.19 ,32993270
7/29/2025,$234.15 ,$234.72 ,$230.31 ,$231.01 ,33716220
