Date,Open,High,Low,Close,Volume
09/01/2025,198.40,201.20,197.80,200.90,5123000
09/02/2025,200.90,202.50,199.60,201.80,4987000
09/03/2025,201.80,203.10,200.70,202.40,5216000
09/04/2025,202.40,204.20,201.50,203.90,5448000
09/05/2025,203.90,205.00,202.80,204.30,5302000
09/08/2025,204.30,206.10,203.50,205.80,5624000
09/09/2025,205.80,207.40,204.90,206.60,5789000
09/10/2025,206.60,208.20,205.70,207.90,6013000
09/11/2025,207.90,209.50,206.80,208.70,6245000
09/12/2025,208.70,210.00,207.60,209.40,6392000
09/15/2025,209.40,211.20,208.50,210.90,6587000
09/16/2025,210.90,212.10,209.80,211.30,6426000
09/17/2025,211.30,213.00,210.40,212.70,6709000
09/18/2025,212.70,214.20,211.60,213.90,6891000
09/19/2025,213.90,215.50,212.80,214.80,7023000
09/22/2025,214.80,216.20,213.60,215.90,7218000
09/23/2025,215.90,217.30,214.90,216.70,7394000
09/24/2025,216.70,218.40,215.80,217.90,7586000
09/25/2025,217.90,219.10,216.70,218.60,7729000
09/26/2025,218.60,220.00,217.80,219.40,7915000



