Date,Open,High,Low,Close/Last,Volume
12/12/2025,$649.80 ,$711.00 ,$638.61 ,$644.23 ,14016920
12/11/2025,$643.29 ,$655.28 ,$640.80 ,$652.71 ,13056730
12/10/2025,$649.95 ,$654.51 ,$643.40 ,$650.13 ,16910880
12/9/2025,$663.77 ,$664.48 ,$653.34 ,$656.96 ,12997120
12/8/2025,$669.34 ,$676.71 ,$665.07 ,$666.80 ,13160980
12/5/2025,$664.00 ,$674.69 ,$662.39 ,$673.42 ,21207860
12/4/2025,$676.00 ,$676.10 ,$660.05 ,$661.53 ,29874620
12/3/2025,$644.41 ,$648.85 ,$637.55 ,$639.60 ,11134310
12/2/2025,$642.34 ,$647.87 ,$638.07 ,$647.10 ,11640870
12/1/2025,$639.55 ,$645.32 ,$637.76 ,$640.87 ,13029920
11/28/2025,$636.08 ,$648.05 ,$635.50 ,$647.95 ,11033200
11/26/2025,$637.69 ,$638.36 ,$631.63 ,$633.61 ,15209480
11/25/2025,$624.00 ,$637.05 ,$618.30 ,$636.22 ,25212980
11/24/2025,$598.72 ,$616.70 ,$597.63 ,$613.05 ,23554930
11/21/2025,$588.50 ,$598.12 ,$581.86 ,$594.25 ,21052620
11/20/2025,$603.50 ,$606.72 ,$583.35 ,$589.15 ,20603020
11/19/2025,$593.72 ,$595.33 ,$581.25 ,$590.32 ,24744700
11/18/2025,$591.60 ,$603.66 ,$583.78 ,$597.69 ,25500650
11/17/2025,$609.04 ,$611.69 ,$595.40 ,$602.01 ,16501330
11/14/2025,$601.79 ,$613.68 ,$595.20 ,$609.46 ,20724150
11/13/2025,$613.07 ,$617.65 ,$603.00 ,$609.89 ,20973850
11/12/2025,$628.13 ,$628.99 ,$607.77 ,$609.01 ,24493270
11/11/2025,$628.00 ,$629.56 ,$619.39 ,$627.08 ,13302190
11/10/2025,$631.09 ,$635.00 ,$618.11 ,$631.76 ,19245000
11/7/2025,$616.49 ,$622.13 ,$601.20 ,$621.71 ,29946830
11/6/2025,$635.85 ,$636.00 ,$618.00 ,$618.94 ,23628750
11/5/2025,$632.31 ,$642.23 ,$626.54 ,$635.95 ,20219860
11/4/2025,$628.04 ,$641.74 ,$626.01 ,$627.32 ,27356550
11/3/2025,$656.00 ,$659.33 ,$636.18 ,$637.71 ,33003600
10/31/2025,$674.51 ,$674.89 ,$645.57 ,$648.35 ,56953170
10/30/2025,$669.15 ,$680.96 ,$650.17 ,$666.47 ,88440090
10/29/2025,$754.75 ,$759.16 ,$742.51 ,$751.67 ,26818590
10/28/2025,$752.63 ,$758.40 ,$745.52 ,$751.44 ,12193820
10/27/2025,$749.73 ,$755.75 ,$748.01 ,$750.82 ,11321080
10/24/2025,$736.79 ,$741.21 ,$731.15 ,$738.36 ,9151267
10/23/2025,$734.70 ,$742.41 ,$733.10 ,$734.00 ,9855974
10/22/2025,$733.83 ,$740.60 ,$724.03 ,$733.41 ,8734491
10/21/2025,$736.02 ,$738.50 ,$728.75 ,$733.27 ,7647269
10/20/2025,$721.19 ,$733.77 ,$720.18 ,$732.17 ,8900204
10/17/2025,$707.08 ,$718.54 ,$706.12 ,$716.92 ,12232440
10/16/2025,$717.55 ,$725.49 ,$703.88 ,$712.07 ,9017010
10/15/2025,$717.06 ,$723.90 ,$709.51 ,$717.55 ,10246770
10/14/2025,$707.78 ,$715.55 ,$699.33 ,$708.65 ,8829757
10/13/2025,$713.01 ,$719.94 ,$707.64 ,$715.70 ,9251796
10/10/2025,$730.92 ,$735.27 ,$704.51 ,$705.30 ,16980090
10/9/2025,$718.28 ,$733.51 ,$712.44 ,$733.51 ,12717170
10/8/2025,$713.45 ,$719.65 ,$707.81 ,$717.84 ,10790570
10/7/2025,$717.72 ,$718.50 ,$705.75 ,$713.08 ,12062930
10/6/2025,$705.19 ,$716.88 ,$690.51 ,$715.66 ,21654740
10/3/2025,$729.63 ,$731.00 ,$710.18 ,$710.56 ,16154310
10/2/2025,$722.58 ,$727.77 ,$718.14 ,$727.05 ,11415270
10/1/2025,$721.49 ,$721.85 ,$710.20 ,$717.34 ,20419630
9/30/2025,$742.25 ,$742.97 ,$726.30 ,$734.38 ,16226750
9/29/2025,$748.72 ,$750.78 ,$739.15 ,$743.40 ,9246768
