Date,Open,High,Low,Close/Last,Volume
12/12/2025,$95.50 ,$96.92 ,$94.65 ,$95.19 ,49323120
12/11/2025,$93.90 ,$94.82 ,$92.76 ,$94.09 ,43949010
12/10/2025,$96.74 ,$96.97 ,$92.35 ,$92.71 ,74129270
12/9/2025,$97.03 ,$97.24 ,$95.45 ,$96.71 ,51745580
12/8/2025,$99.87 ,$99.89 ,$95.30 ,$96.79 ,100906300
12/5/2025,$98.78 ,$104.79 ,$97.74 ,$100.24 ,133363600
12/4/2025,$103.57 ,$103.80 ,$101.77 ,$103.22 ,51779140
12/3/2025,$106.59 ,$106.87 ,$102.03 ,$103.96 ,53593400
12/2/2025,$109.21 ,$109.73 ,$107.52 ,$109.35 ,25762980
12/1/2025,$106.51 ,$109.34 ,$106.31 ,$109.13 ,24873390
11/28/2025,$106.44 ,$107.94 ,$106.24 ,$107.58 ,15021610
11/26/2025,$105.74 ,$106.95 ,$105.22 ,$106.14 ,27951010
11/25/2025,$106.12 ,$106.30 ,$103.82 ,$104.40 ,35122560
11/24/2025,$104.25 ,$108.04 ,$103.32 ,$106.97 ,62918290
11/21/2025,$105.13 ,$106.53 ,$103.81 ,$104.31 ,41232690
11/20/2025,$111.00 ,$111.10 ,$105.39 ,$105.67 ,36918550
11/19/2025,$113.00 ,$113.34 ,$108.61 ,$110.00 ,31868090
11/18/2025,$110.29 ,$115.25 ,$109.20 ,$114.09 ,43440570
11/17/2025,$110.75 ,$111.85 ,$109.55 ,$110.29 ,26082730
11/14/2025,$114.27 ,$114.27 ,$110.72 ,$111.22 ,47607130
11/13/2025,$115.85 ,$116.73 ,$114.57 ,$115.42 ,40143590
11/12/2025,$113.82 ,$116.43 ,$112.83 ,$115.75 ,39220570
11/11/2025,$111.76 ,$113.92 ,$111.28 ,$113.64 ,27965940
11/10/2025,$110.67 ,$112.82 ,$110.41 ,$112.01 ,36929000
11/7/2025,$109.42 ,$110.82 ,$108.75 ,$110.37 ,44125340
11/6/2025,$109.46 ,$110.37 ,$108.51 ,$109.70 ,36531700
11/5/2025,$108.50 ,$110.09 ,$107.34 ,$109.85 ,35539170
11/4/2025,$110.00 ,$110.46 ,$108.67 ,$109.30 ,38717800
11/3/2025,$113.32 ,$113.35 ,$107.52 ,$110.01 ,58634390
10/31/2025,$110.54 ,$113.49 ,$110.20 ,$111.89 ,68665000
10/30/2025,$109.44 ,$110.62 ,$108.81 ,$108.90 ,41580990
10/29/2025,$109.98 ,$110.86 ,$109.60 ,$110.04 ,33994870
10/28/2025,$109.40 ,$111.70 ,$109.30 ,$110.25 ,40209010
10/27/2025,$110.07 ,$110.23 ,$108.73 ,$109.46 ,46911140
10/24/2025,$111.10 ,$111.45 ,$109.44 ,$109.47 ,60280250
10/23/2025,$112.69 ,$112.78 ,$109.97 ,$111.36 ,68497220
10/22/2025,$114.29 ,$115.76 ,$111.25 ,$111.64 ,147890300
10/21/2025,$124.28 ,$124.86 ,$123.18 ,$124.14 ,65082340
10/20/2025,$120.79 ,$124.78 ,$120.69 ,$123.86 ,39862350
10/17/2025,$118.36 ,$120.31 ,$117.90 ,$119.94 ,29571010
10/16/2025,$121.22 ,$121.67 ,$117.60 ,$118.36 ,28326190
10/15/2025,$121.30 ,$121.96 ,$120.16 ,$120.33 ,20251940
10/14/2025,$121.48 ,$122.43 ,$120.31 ,$121.54 ,23624460
10/13/2025,$122.14 ,$123.11 ,$120.68 ,$121.90 ,24607830
10/10/2025,$122.90 ,$124.70 ,$121.91 ,$122.01 ,42797760
10/9/2025,$121.43 ,$123.75 ,$121.18 ,$123.11 ,28240770
10/8/2025,$119.71 ,$121.74 ,$119.20 ,$121.43 ,28513530
10/7/2025,$117.78 ,$120.14 ,$117.75 ,$119.11 ,33090940
10/6/2025,$116.04 ,$116.36 ,$114.55 ,$116.33 ,29685960
10/3/2025,$116.50 ,$116.80 ,$114.32 ,$115.33 ,31373650
10/2/2025,$116.15 ,$116.33 ,$113.40 ,$116.25 ,46854670
10/1/2025,$117.55 ,$117.91 ,$116.32 ,$117.09 ,41102210
9/30/2025,$120.64 ,$120.85 ,$117.80 ,$119.89 ,38303040
9/29/2025,$120.50 ,$122.45 ,$118.75 ,$120.64 ,30331740
9/26/2025,$120.54 ,$121.40 ,$120.00 ,$121.06 ,19449570
9/25/2025,$120.31 ,$121.68 ,$119.15 ,$120.82 ,19977830
9/24/2025,$121.86 ,$122.15 ,$119.42 ,$120.40 ,27731270
9/23/2025,$122.73 ,$122.78 ,$120.85 ,$121.85 ,24991460
9/22/2025,$122.19 ,$122.98 ,$121.42 ,$122.74 ,25468140
9/19/2025,$121.86 ,$123.00 ,$120.81 ,$122.70 ,49475900
9/18/2025,$122.08 ,$123.30 ,$120.55 ,$120.78 ,31691050
9/17/2025,$122.10 ,$123.39 ,$120.66 ,$122.85 ,34597960
9/16/2025,$120.56 ,$120.90 ,$119.73 ,$120.05 ,24046860
9/15/2025,$118.84 ,$120.72 ,$117.32 ,$120.23 ,29092770
9/12/2025,$120.31 ,$121.18 ,$118.24 ,$118.84 ,37849440
9/11/2025,$125.10 ,$125.34 ,$119.20 ,$120.35 ,56822860
9/10/2025,$126.40 ,$126.70 ,$124.64 ,$124.77 ,27010150
9/9/2025,$124.67 ,$126.57 ,$124.67 ,$126.33 ,22196550
9/8/2025,$124.85 ,$125.20 ,$123.20 ,$124.48 ,19150530
9/5/2025,$126.00 ,$126.71 ,$123.90 ,$124.38 ,23796730
9/4/2025,$122.32 ,$125.75 ,$122.31 ,$125.75 ,30235060
9/3/2025,$120.51 ,$122.70 ,$120.34 ,$122.62 ,24714950
9/2/2025,$119.70 ,$121.54 ,$118.28 ,$121.41 ,23032690
8/29/2025,$122.80 ,$122.88 ,$120.12 ,$120.83 ,32098170
8/28/2025,$122.28 ,$123.79 ,$121.43 ,$123.15 ,19503360
8/27/2025,$122.36 ,$122.92 ,$121.30 ,$122.35 ,16645260
8/26/2025,$122.02 ,$123.15 ,$121.22 ,$122.61 ,19857140
8/25/2025,$120.17 ,$123.38 ,$119.90 ,$121.81 ,28120360
8/22/2025,$120.89 ,$121.36 ,$119.82 ,$120.47 ,31281330
8/21/2025,$121.14 ,$122.14 ,$119.76 ,$120.62 ,20471780
8/20/2025,$121.80 ,$122.30 ,$119.33 ,$121.39 ,24343980
8/19/2025,$124.02 ,$124.10 ,$119.28 ,$121.42 ,37077310
8/18/2025,$123.56 ,$125.12 ,$123.55 ,$124.51 ,21110870
8/15/2025,$123.40 ,$124.69 ,$122.79 ,$123.90 ,27678040
8/14/2025,$120.99 ,$124.41 ,$120.70 ,$123.06 ,39046680
