Date,Open,High,Low,Close,Volume
2025-09-01,102.50,104.20,101.80,103.90,3450000
2025-09-02,103.90,105.00,103.10,104.60,3620000
2025-09-03,104.60,105.80,104.00,105.30,3785000
2025-09-04,105.30,106.10,104.70,105.90,3902000
2025-09-05,105.90,106.50,105.00,105.40,3551000
2025-09-08,105.40,106.00,104.20,104.80,3409000
2025-09-09,104.80,105.60,104.00,105.10,3318000
2025-09-10,105.10,106.40,104.90,106.00,4023000
2025-09-11,106.00,107.20,105.50,106.80,4210000
2025-09-12,106.80,107.50,106.10,107.20,4156000
2025-09-15,107.20,108.30,106.70,107.90,4382000
2025-09-16,107.90,108.10,106.90,107.30,3975000
2025-09-17,107.30,108.00,106.40,106.90,3824000
2025-09-18,106.90,107.60,106.10,107.10,3698000
2025-09-19,107.10,108.40,106.80,108.00,4559000
2025-09-22,108.00,109.10,107.40,108.70,4723000
2025-09-23,108.70,109.50,108.00,109.20,4896000
2025-09-24,109.20,109.80,108.50,109.00,4632000
2025-09-25,109.00,110.40,108.90,110.10,5127000
2025-09-26,110.10,111.00,109.60,110.70,5289000

