Date,Open,High,Low,Close/Last,Volume
12/12/2025,$85.11 ,$85.93 ,$84.86 ,$85.35 ,9071499
12/11/2025,$84.22 ,$85.00 ,$83.74 ,$84.74 ,6893969
12/10/2025,$82.21 ,$84.00 ,$81.97 ,$83.85 ,10539600
12/9/2025,$83.32 ,$83.33 ,$82.02 ,$82.28 ,10322880
12/8/2025,$85.13 ,$85.50 ,$83.14 ,$83.41 ,10277590
12/5/2025,$84.91 ,$86.51 ,$84.80 ,$85.12 ,9402927
12/4/2025,$87.30 ,$87.87 ,$84.75 ,$85.00 ,10555100
12/3/2025,$85.03 ,$87.50 ,$84.97 ,$87.11 ,9303938
12/2/2025,$85.03 ,$86.00 ,$84.22 ,$85.20 ,9001910
12/1/2025,$86.21 ,$86.50 ,$84.77 ,$84.91 ,8752137
11/28/2025,$87.03 ,$87.28 ,$86.40 ,$87.11 ,3677642
11/26/2025,$85.50 ,$87.29 ,$85.50 ,$86.70 ,7602581
11/25/2025,$82.83 ,$86.02 ,$82.82 ,$85.91 ,9265302
11/24/2025,$85.26 ,$85.59 ,$82.83 ,$83.34 ,10805830
11/21/2025,$82.52 ,$86.58 ,$82.52 ,$85.35 ,10227670
11/20/2025,$84.03 ,$85.23 ,$82.54 ,$82.62 ,8966338
11/19/2025,$83.26 ,$84.39 ,$83.03 ,$83.68 ,6195147
11/18/2025,$83.61 ,$83.84 ,$82.34 ,$83.33 ,7189392
11/17/2025,$85.19 ,$86.85 ,$83.45 ,$83.69 ,8547244
11/14/2025,$85.61 ,$86.50 ,$84.00 ,$84.78 ,13434610
11/13/2025,$86.76 ,$87.29 ,$86.19 ,$86.44 ,10507680
11/12/2025,$87.63 ,$89.06 ,$87.13 ,$87.26 ,11975820
11/11/2025,$84.98 ,$87.04 ,$84.90 ,$86.42 ,9575823
11/10/2025,$86.06 ,$86.15 ,$84.03 ,$84.60 ,10507560
11/7/2025,$82.34 ,$85.95 ,$81.76 ,$85.57 ,15009920
11/6/2025,$82.57 ,$83.85 ,$81.86 ,$82.22 ,10382800
11/5/2025,$79.60 ,$83.11 ,$79.04 ,$82.88 ,17996240
11/4/2025,$81.18 ,$81.20 ,$77.99 ,$79.60 ,17774640
11/3/2025,$80.93 ,$81.92 ,$80.60 ,$80.96 ,9525082
10/31/2025,$82.77 ,$82.78 ,$80.22 ,$80.87 ,13598050
10/30/2025,$82.23 ,$86.05 ,$81.25 ,$83.15 ,18337520
10/29/2025,$84.14 ,$84.89 ,$83.28 ,$84.17 ,13881660
10/28/2025,$86.90 ,$87.54 ,$85.31 ,$85.43 ,11545600
10/27/2025,$86.28 ,$87.44 ,$86.11 ,$87.22 ,7164584
10/24/2025,$86.10 ,$86.84 ,$85.86 ,$86.09 ,5844597
10/23/2025,$85.48 ,$85.90 ,$84.98 ,$85.44 ,4565508
10/22/2025,$85.76 ,$86.00 ,$84.90 ,$85.50 ,5286258
10/21/2025,$84.14 ,$86.51 ,$83.65 ,$85.90 ,8262493
10/20/2025,$85.69 ,$86.34 ,$84.43 ,$84.53 ,7679667
10/17/2025,$84.25 ,$85.94 ,$84.02 ,$85.36 ,8527648
10/16/2025,$83.20 ,$84.89 ,$83.04 ,$84.34 ,11552090
10/15/2025,$81.70 ,$83.32 ,$81.57 ,$82.86 ,11094290
10/14/2025,$79.25 ,$81.48 ,$79.03 ,$81.15 ,7510256
10/13/2025,$78.85 ,$80.44 ,$78.51 ,$80.03 ,8052044
10/10/2025,$79.66 ,$81.21 ,$78.41 ,$78.46 ,11129780
10/9/2025,$80.12 ,$80.46 ,$79.43 ,$79.78 ,9075650
10/8/2025,$81.13 ,$81.13 ,$79.93 ,$80.04 ,12397710
10/7/2025,$82.16 ,$82.46 ,$80.79 ,$81.29 ,10070070
10/6/2025,$86.29 ,$86.29 ,$82.06 ,$82.11 ,14996700
10/3/2025,$86.50 ,$86.90 ,$85.96 ,$86.42 ,7634500
10/2/2025,$84.25 ,$87.26 ,$84.03 ,$86.72 ,9461533
10/1/2025,$84.46 ,$85.14 ,$83.96 ,$84.40 ,8155190
9/30/2025,$85.23 ,$85.25 ,$84.18 ,$84.60 ,7574244
9/29/2025,$83.65 ,$85.84 ,$83.55 ,$85.64 ,11222760
9/26/2025,$83.85 ,$84.62 ,$82.90 ,$83.39 ,6955543
9/25/2025,$84.54 ,$84.67 ,$82.89 ,$83.83 ,8670515
9/24/2025,$85.58 ,$85.65 ,$84.13 ,$84.27 ,9663999
9/23/2025,$85.15 ,$86.18 ,$84.85 ,$85.69 ,8765503
9/22/2025,$84.23 ,$85.40 ,$83.69 ,$85.29 ,7881720
9/19/2025,$84.13 ,$85.22 ,$83.38 ,$84.56 ,15315900
9/18/2025,$83.14 ,$83.60 ,$82.63 ,$83.42 ,7163732
9/17/2025,$84.48 ,$84.86 ,$82.96 ,$83.22 ,6632238
9/16/2025,$83.03 ,$84.73 ,$83.00 ,$84.37 ,10244260
9/15/2025,$82.08 ,$83.87 ,$81.98 ,$82.68 ,9685897
9/12/2025,$82.37 ,$82.54 ,$81.20 ,$81.90 ,9996157
9/11/2025,$83.29 ,$83.93 ,$82.13 ,$82.36 ,12046580
9/10/2025,$83.87 ,$84.00 ,$82.77 ,$82.88 ,8108045
9/9/2025,$84.20 ,$84.68 ,$83.27 ,$83.81 ,8635773
9/8/2025,$85.50 ,$85.50 ,$83.68 ,$84.17 ,9213687
9/5/2025,$86.86 ,$87.35 ,$85.06 ,$85.43 ,9047219
9/4/2025,$87.17 ,$87.77 ,$86.39 ,$87.01 ,6799210
9/3/2025,$89.40 ,$89.48 ,$86.29 ,$87.25 ,10201030
9/2/2025,$87.84 ,$89.99 ,$87.18 ,$89.78 ,10466190
8/29/2025,$88.00 ,$88.57 ,$87.40 ,$88.19 ,6315238
8/28/2025,$88.22 ,$88.46 ,$87.60 ,$88.02 ,7905597
8/27/2025,$86.63 ,$88.31 ,$86.50 ,$87.66 ,7677919
8/26/2025,$85.89 ,$87.20 ,$85.57 ,$86.63 ,9315246
8/25/2025,$88.22 ,$88.32 ,$85.71 ,$85.81 ,11013470
8/22/2025,$89.13 ,$89.85 ,$88.31 ,$88.38 ,7625496
8/21/2025,$89.03 ,$89.19 ,$88.11 ,$88.56 ,5669196
8/20/2025,$90.96 ,$91.32 ,$89.45 ,$89.51 ,5813990
8/19/2025,$92.54 ,$92.97 ,$90.73 ,$90.93 ,6815840
8/18/2025,$90.31 ,$93.58 ,$89.90 ,$92.54 ,7376166
8/15/2025,$92.55 ,$92.73 ,$90.37 ,$90.60 ,8059740
8/14/2025,$93.61 ,$93.61 ,$92.08 ,$93.06 ,9803502
8/13/2025,$93.18 ,$94.69 ,$92.74 ,$94.18 ,6493412
8/12/2025,$93.44 ,$94.85 ,$93.08 ,$93.37 ,9674537
8/11/2025,$92.04 ,$92.44 ,$90.49 ,$91.74 ,9504432
