Date,Open,High,Low,Close/Last,Volume
12/12/2025,$448.09 ,$463.01 ,$441.67 ,$458.96 ,95656750
12/11/2025,$448.95 ,$449.27 ,$440.33 ,$446.89 ,55979490
12/10/2025,$446.07 ,$456.88 ,$443.61 ,$451.45 ,63257480
12/9/2025,$437.54 ,$452.39 ,$435.70 ,$445.17 ,62367440
12/8/2025,$447.45 ,$449.75 ,$435.25 ,$439.58 ,69165750
12/5/2025,$453.03 ,$458.87 ,$451.66 ,$455.00 ,56427520
12/4/2025,$449.94 ,$454.63 ,$445.39 ,$454.53 ,71906490
12/3/2025,$432.10 ,$447.92 ,$431.11 ,$446.74 ,87482960
12/2/2025,$430.81 ,$436.80 ,$422.12 ,$429.24 ,69336630
12/1/2025,$425.32 ,$433.66 ,$425.29 ,$430.14 ,57463550
11/28/2025,$426.59 ,$432.93 ,$426.20 ,$430.17 ,36252860
11/26/2025,$423.95 ,$426.94 ,$416.89 ,$426.58 ,63463000
11/25/2025,$414.42 ,$420.48 ,$405.95 ,$419.40 ,71915620
11/24/2025,$402.17 ,$421.72 ,$401.09 ,$417.78 ,96806370
11/21/2025,$402.32 ,$402.80 ,$383.76 ,$391.09 ,100460600
11/20/2025,$414.63 ,$428.94 ,$394.74 ,$395.23 ,113548800
11/19/2025,$406.18 ,$411.78 ,$398.50 ,$403.99 ,72047700
11/18/2025,$405.38 ,$408.90 ,$393.71 ,$401.25 ,80688640
11/17/2025,$398.74 ,$423.96 ,$398.74 ,$408.92 ,102214300
11/14/2025,$386.30 ,$412.19 ,$382.78 ,$404.35 ,105506700
11/13/2025,$423.13 ,$424.50 ,$396.34 ,$401.99 ,118948000
11/12/2025,$442.15 ,$442.33 ,$426.56 ,$430.60 ,58513520
11/11/2025,$439.40 ,$442.49 ,$432.36 ,$439.62 ,60533240
11/10/2025,$439.60 ,$449.67 ,$433.36 ,$445.23 ,76515910
11/7/2025,$437.92 ,$439.36 ,$421.88 ,$429.52 ,103471500
11/6/2025,$461.96 ,$467.45 ,$435.09 ,$445.91 ,109622900
11/5/2025,$452.05 ,$466.33 ,$440.71 ,$462.07 ,85573020
11/4/2025,$454.46 ,$460.22 ,$443.60 ,$444.26 ,87756640
11/3/2025,$455.99 ,$474.07 ,$453.80 ,$468.37 ,84595240
10/31/2025,$446.75 ,$458.00 ,$443.69 ,$456.56 ,83135790
10/30/2025,$451.05 ,$455.06 ,$439.61 ,$440.10 ,72447940
10/29/2025,$462.50 ,$465.70 ,$452.65 ,$461.51 ,67983540
10/28/2025,$454.78 ,$467.00 ,$451.60 ,$460.55 ,80185670
10/27/2025,$439.98 ,$460.16 ,$438.69 ,$452.42 ,105867500
10/24/2025,$446.83 ,$451.68 ,$430.17 ,$433.72 ,94727770
10/23/2025,$420.00 ,$449.40 ,$413.90 ,$448.98 ,126709800
10/22/2025,$443.45 ,$445.54 ,$429.00 ,$438.97 ,84023460
10/21/2025,$445.76 ,$449.30 ,$442.05 ,$442.60 ,54412170
10/20/2025,$443.87 ,$449.80 ,$440.61 ,$447.43 ,63718970
10/17/2025,$425.50 ,$441.46 ,$423.60 ,$439.31 ,89331580
10/16/2025,$434.73 ,$439.35 ,$421.31 ,$428.75 ,77189890
10/15/2025,$434.90 ,$440.51 ,$426.33 ,$435.15 ,71558190
10/14/2025,$426.79 ,$434.20 ,$417.86 ,$429.24 ,72669440
10/13/2025,$423.53 ,$436.89 ,$419.70 ,$435.90 ,79552790
10/10/2025,$436.54 ,$443.13 ,$411.45 ,$413.49 ,112107900
10/9/2025,$431.81 ,$436.35 ,$426.18 ,$435.54 ,69339930
10/8/2025,$437.57 ,$441.33 ,$425.23 ,$438.69 ,71192130
10/7/2025,$447.82 ,$452.68 ,$432.45 ,$433.09 ,102296100
10/6/2025,$440.75 ,$453.55 ,$436.69 ,$453.25 ,85324880
10/3/2025,$443.29 ,$446.77 ,$416.58 ,$429.83 ,133188200
10/2/2025,$470.54 ,$470.75 ,$435.57 ,$436.00 ,137009000
10/1/2025,$443.80 ,$462.29 ,$440.75 ,$459.46 ,98122290
9/30/2025,$441.52 ,$445.00 ,$433.12 ,$444.72 ,74357960
9/29/2025,$444.35 ,$450.98 ,$439.50 ,$443.21 ,79491510
9/26/2025,$428.30 ,$440.47 ,$421.02 ,$440.40 ,101628200
9/25/2025,$435.24 ,$435.35 ,$419.08 ,$423.39 ,96746430
9/24/2025,$429.83 ,$444.21 ,$429.03 ,$442.79 ,93133570
9/23/2025,$439.88 ,$440.97 ,$423.72 ,$425.85 ,83422690
9/22/2025,$431.11 ,$444.98 ,$429.13 ,$434.21 ,97108780
9/19/2025,$421.82 ,$429.47 ,$421.72 ,$426.07 ,93131030
9/18/2025,$428.87 ,$432.22 ,$416.56 ,$416.85 ,90454510
9/17/2025,$415.75 ,$428.31 ,$409.67 ,$425.86 ,106133500
9/16/2025,$414.50 ,$423.25 ,$411.43 ,$421.62 ,104285700
9/15/2025,$423.13 ,$425.70 ,$402.43 ,$410.04 ,163823700
9/12/2025,$370.94 ,$396.69 ,$370.24 ,$395.94 ,168156400
9/11/2025,$350.17 ,$368.99 ,$347.60 ,$368.81 ,103756000
9/10/2025,$350.55 ,$356.33 ,$346.07 ,$347.79 ,72121680
9/9/2025,$348.44 ,$350.77 ,$343.82 ,$346.97 ,53815990
9/8/2025,$354.64 ,$358.44 ,$344.84 ,$346.40 ,75208290
9/5/2025,$348.00 ,$355.87 ,$344.68 ,$350.84 ,108989800
9/4/2025,$336.15 ,$338.89 ,$331.48 ,$338.53 ,60711030
9/3/2025,$335.20 ,$343.33 ,$328.51 ,$334.09 ,88733290
9/2/2025,$328.23 ,$333.33 ,$325.60 ,$329.36 ,58391950
8/29/2025,$347.23 ,$348.75 ,$331.70 ,$333.87 ,81145660
8/28/2025,$350.91 ,$353.55 ,$340.26 ,$345.98 ,67903220
8/27/2025,$351.94 ,$355.39 ,$349.16 ,$349.60 ,65519010
8/26/2025,$344.93 ,$351.90 ,$343.72 ,$351.67 ,76651550
8/25/2025,$338.90 ,$349.53 ,$335.03 ,$346.60 ,86670040
8/22/2025,$321.66 ,$340.25 ,$319.69 ,$340.01 ,94016350
8/21/2025,$322.08 ,$324.90 ,$318.68 ,$320.11 ,55744450
8/20/2025,$329.22 ,$331.37 ,$314.60 ,$323.90 ,77481770
8/19/2025,$335.79 ,$340.55 ,$327.85 ,$329.31 ,75956000
8/18/2025,$329.62 ,$336.27 ,$329.59 ,$335.16 ,56956550
8/15/2025,$337.66 ,$339.30 ,$327.02 ,$330.56 ,74319790
8/14/2025,$335.76 ,$340.47 ,$330.40 ,$335.58 ,75000660
8/13/2025,$341.50 ,$348.98 ,$338.20 ,$339.38 ,67838890
8/12/2025,$345.00 ,$345.26 ,$332.94 ,$340.84 ,80690110
8/11/2025,$335.00 ,$346.64 ,$334.15 ,$339.03 ,105320200
8/8/2025,$321.43 ,$335.15 ,$320.98 ,$329.65 ,91200320
8/7/2025,$319.79 ,$322.40 ,$316.16 ,$322.27 ,66658670
8/6/2025,$307.89 ,$320.47 ,$306.93 ,$319.91 ,78523580
8/5/2025,$308.95 ,$312.45 ,$305.50 ,$308.72 ,57961280
8/4/2025,$309.08 ,$312.12 ,$303.00 ,$309.26 ,78683910
8/1/2025,$306.21 ,$309.31 ,$297.82 ,$302.63 ,89121450
7/31/2025,$319.61 ,$321.37 ,$306.10 ,$308.27 ,85270920
7/30/2025,$322.18 ,$324.45 ,$311.62 ,$319.04 ,83931940
7/29/2025,$325.55 ,$326.25 ,$318.25 ,$321.20 ,87358860
7/28/2025,$318.45 ,$330.49 ,$315.69 ,$325.59 ,112673800
7/25/2025,$308.74 ,$323.63 ,$308.01 ,$316.06 ,148227000
7/24/2025,$310.00 ,$310.15 ,$300.41 ,$305.30 ,156966000
7/23/2025,$330.90 ,$336.20 ,$328.67 ,$332.56 ,92553760
7/22/2025,$329.74 ,$335.41 ,$321.55 ,$332.11 ,77370370
7/21/2025,$334.40 ,$338.00 ,$326.88 ,$328.49 ,75768800
7/18/2025,$321.66 ,$330.90 ,$321.42 ,$329.65 ,94254990
7/17/2025,$323.15 ,$324.34 ,$317.06 ,$319.41 ,73922870
7/16/2025,$312.80 ,$323.50 ,$312.62 ,$321.67 ,97284790
7/15/2025,$319.68 ,$321.20 ,$310.50 ,$310.78 ,77556350
7/14/2025,$317.73 ,$322.60 ,$312.67 ,$316.90 ,78043430
7/11/2025,$307.89 ,$314.09 ,$305.65 ,$313.51 ,79236440
7/10/2025,$300.05 ,$310.48 ,$300.00 ,$309.87 ,104365300
7/9/2025,$297.55 ,$300.15 ,$293.55 ,$295.88 ,75586770
7/8/2025,$297.00 ,$304.05 ,$294.35 ,$297.81 ,103246700
7/7/2025,$291.37 ,$296.15 ,$288.77 ,$293.94 ,131177900
7/3/2025,$317.99 ,$318.45 ,$312.76 ,$315.35 ,58042300
7/2/2025,$312.63 ,$316.83 ,$303.82 ,$315.65 ,119483700
7/1/2025,$298.46 ,$305.89 ,$293.21 ,$300.71 ,145085700
6/30/2025,$319.90 ,$325.58 ,$316.60 ,$317.66 ,76695080
6/27/2025,$324.51 ,$329.34 ,$317.50 ,$323.63 ,89067050
6/26/2025,$324.61 ,$331.05 ,$323.61 ,$325.78 ,80440910
6/25/2025,$342.70 ,$343.00 ,$320.40 ,$327.55 ,119845100
6/24/2025,$356.17 ,$356.26 ,$340.44 ,$340.47 ,114736200
6/23/2025,$327.54 ,$357.54 ,$327.48 ,$348.68 ,190716800
6/20/2025,$327.95 ,$332.36 ,$317.78 ,$322.16 ,108688000
6/18/2025,$317.31 ,$329.32 ,$315.45 ,$322.05 ,95137690
6/17/2025,$326.09 ,$327.26 ,$314.74 ,$316.35 ,88282670
6/16/2025,$331.29 ,$332.05 ,$326.41 ,$329.13 ,83925860
6/13/2025,$313.97 ,$332.99 ,$313.30 ,$325.31 ,128964300
